"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"核心断言是""绝不能返回 5xx""

        注入类输入的正确表现是被参数校验或唯一约束拦下（4xx），
        一旦出现 500 说明输入直达了底层，是明确的安全信号。
        ","63","test_malicious_username_no_500[\u8f93\u5165_4]","testcases","2026-09-03","passed","2026-09-03","TestMaliciousInput","test_security","",""
"核心断言是""绝不能返回 5xx""

        注入类输入的正确表现是被参数校验或唯一约束拦下（4xx），
        一旦出现 500 说明输入直达了底层，是明确的安全信号。
        ","3","test_malicious_username_no_500[\u8f93\u5165_0]","testcases","2026-09-03","passed","2026-09-03","TestMaliciousInput","test_security","",""
"","4","test_get_user_with_invalid_id_type","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"","5","test_cannot_read_others_order","testcases","2026-09-03","passed","2026-09-03","TestAuthorization","test_security","",""
"","36","test_cannot_operate_others_order","testcases","2026-09-03","passed","2026-09-03","TestAuthorization","test_security","",""
"","108","test_create_order[\u6570\u91cf\u4e0b\u8fb9\u754c1]","testcases","2026-09-03","passed","2026-09-03","TestOrderCreate","test_order","",""
"","8","test_duplicate_username","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"","4","test_pagination_boundary[\u6bcf\u98750\u6761\u975e\u6cd5]","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"合法数据的用例会真的建出用户，因此给唯一字段加随机后缀并在断言后清理","7","test_create_validation[\u7f3a\u5c11\u5fc5\u586b\u5b57\u6bb5password]","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"合法数据的用例会真的建出用户，因此给唯一字段加随机后缀并在断言后清理","7","test_create_validation[\u5bc6\u7801\u5c11\u4e8e8\u4f4d]","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"","4","test_invalid_token_rejected[\u9519\u8bef\u8ba4\u8bc1\u65b9\u6848]","testcases","2026-09-03","passed","2026-09-03","TestAuthentication","test_security","",""
"","6","test_login_no_password_leak","testcases","2026-09-03","passed","2026-09-03","TestLogin","test_login","",""
"","107","test_create_order[\u6b63\u5e38\u4e0b\u5355\u591a\u4ef6\u91d1\u989d\u9700\u6b63\u786e\u7d2f\u8ba1]","testcases","2026-09-03","passed","2026-09-03","TestOrderCreate","test_order","",""
"","4","test_no_sensitive_field_in_list","testcases","2026-09-03","passed","2026-09-03","TestMaliciousInput","test_security","",""
"核心断言是""绝不能返回 5xx""

        注入类输入的正确表现是被参数校验或唯一约束拦下（4xx），
        一旦出现 500 说明输入直达了底层，是明确的安全信号。
        ","3","test_malicious_username_no_500[\u8f93\u5165_3]","testcases","2026-09-03","passed","2026-09-03","TestMaliciousInput","test_security","",""
"","3","test_get_nonexistent_user","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"核心断言是""绝不能返回 5xx""

        注入类输入的正确表现是被参数校验或唯一约束拦下（4xx），
        一旦出现 500 说明输入直达了底层，是明确的安全信号。
        ","59","test_malicious_username_no_500[\u8f93\u5165_6]","testcases","2026-09-03","passed","2026-09-03","TestMaliciousInput","test_security","",""
"","6","test_login[\u7528\u6237\u540d\u8d85\u957f255\u5b57\u7b26]","testcases","2026-09-03","passed","2026-09-03","TestLogin","test_login","",""
"合法数据的用例会真的建出用户，因此给唯一字段加随机后缀并在断言后清理","4","test_create_validation[\u7f3a\u5c11\u5fc5\u586b\u5b57\u6bb5email]","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"核心断言是""绝不能返回 5xx""

        注入类输入的正确表现是被参数校验或唯一约束拦下（4xx），
        一旦出现 500 说明输入直达了底层，是明确的安全信号。
        ","62","test_malicious_username_no_500[\u8f93\u5165_8]","testcases","2026-09-03","passed","2026-09-03","TestMaliciousInput","test_security","",""
"","5","test_login[\u5bc6\u7801\u9519\u8bef\u767b\u5f55\u5931\u8d25]","testcases","2026-09-03","passed","2026-09-03","TestLogin","test_login","",""
"","5","test_login[\u7528\u6237\u540d\u5927\u5c0f\u5199\u654f\u611f]","testcases","2026-09-03","passed","2026-09-03","TestLogin","test_login","",""
"用随机用户名做锁定测试，避免锁掉公共账号影响其他用例

        锁定计数按用户名维度累计，不存在的用户名同样能验证这条规则，
        这样既覆盖了业务逻辑，又不会污染共享数据。
        ","18","test_account_lock_after_repeated_failures","testcases","2026-09-03","passed","2026-09-03","TestLogin","test_login","",""
"","29","test_legal_transition_cancel","testcases","2026-09-03","passed","2026-09-03","TestOrderStateMachine","test_order","",""
"","4","test_login[\u5bc6\u7801\u4e3a\u7a7a]","testcases","2026-09-03","passed","2026-09-03","TestLogin","test_login","",""
"","7","test_illegal_finish_without_pay","testcases","2026-09-03","passed","2026-09-03","TestOrderStateMachine","test_order","",""
"","103","test_create_order[\u6b63\u5e38\u4e0b\u5355\u5355\u4ef6]","testcases","2026-09-03","passed","2026-09-03","TestOrderCreate","test_order","",""
"","11","test_login[\u8d26\u53f7\u4e0d\u5b58\u5728\u8fd4\u56de\u4e0e\u5bc6\u7801\u9519\u8bef\u4e00\u81f4\u7684\u63d0\u793a]","testcases","2026-09-03","passed","2026-09-03","TestLogin","test_login","",""
"库存边界：刚好够 → 成功；已归零 → 拒绝","41","test_order_with_exact_stock","testcases","2026-09-03","passed","2026-09-03","TestOrderCreate","test_order","",""
"","7","test_pagination_boundary[\u9875\u7801\u4e3a0\u975e\u6cd5]","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"","4","test_protected_endpoints_require_auth[GET-/orders/NO123]","testcases","2026-09-03","passed","2026-09-03","TestAuthentication","test_security","",""
"合法数据的用例会真的建出用户，因此给唯一字段加随机后缀并在断言后清理","6","test_create_validation[\u5bc6\u7801\u8d85\u8fc716\u4f4d]","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"","5","test_update_to_duplicate_email","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"合法数据的用例会真的建出用户，因此给唯一字段加随机后缀并在断言后清理","5","test_create_validation[\u5e74\u9f84\u4e3a\u8d1f\u6570]","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"","4","test_create_order[\u5e93\u5b58\u4e3a0\u65f6\u4e0b\u5355\u5e94\u88ab\u62d2\u7edd]","testcases","2026-09-03","passed","2026-09-03","TestOrderCreate","test_order","",""
"","4","test_protected_endpoints_require_auth[POST-/orders]","testcases","2026-09-03","passed","2026-09-03","TestAuthentication","test_security","",""
"","5","test_protected_endpoints_require_auth[DELETE-/users/1]","testcases","2026-09-03","passed","2026-09-03","TestAuthentication","test_security","",""
"","5","test_pagination_boundary[\u6bcf\u9875\u8d85\u4e0a\u9650\u975e\u6cd5]","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"核心断言是""绝不能返回 5xx""

        注入类输入的正确表现是被参数校验或唯一约束拦下（4xx），
        一旦出现 500 说明输入直达了底层，是明确的安全信号。
        ","67","test_malicious_username_no_500[\u8f93\u5165_9]","testcases","2026-09-03","passed","2026-09-03","TestMaliciousInput","test_security","",""
"","6","test_login[\u7528\u6237\u540d\u4e3a\u7eaf\u7a7a\u683c]","testcases","2026-09-03","passed","2026-09-03","TestLogin","test_login","",""
"合法数据的用例会真的建出用户，因此给唯一字段加随机后缀并在断言后清理","6","test_create_validation[\u7528\u6237\u540d\u8d85\u8fc732\u4f4d_\u4e0a\u8fb9\u754c\u52a0\u4e00]","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"核心断言是""绝不能返回 5xx""

        注入类输入的正确表现是被参数校验或唯一约束拦下（4xx），
        一旦出现 500 说明输入直达了底层，是明确的安全信号。
        ","62","test_malicious_username_no_500[\u8f93\u5165_7]","testcases","2026-09-03","passed","2026-09-03","TestMaliciousInput","test_security","",""
"","4","test_path_injection_no_500[SQL\u6ce8\u5165]","testcases","2026-09-03","passed","2026-09-03","TestMaliciousInput","test_security","",""
"","6","test_operate_nonexistent_order","testcases","2026-09-03","passed","2026-09-03","TestOrderStateMachine","test_order","",""
"","7","test_login[\u6b63\u786e\u8d26\u53f7\u5bc6\u7801\u767b\u5f55\u6210\u529f]","testcases","2026-09-03","passed","2026-09-03","TestLogin","test_login","",""
"","46","test_vertical_privilege","testcases","2026-09-03","passed","2026-09-03","TestAuthorization","test_security","",""
"","80","test_update_user","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
"核心断言是""绝不能返回 5xx""

        注入类输入的正确表现是被参数校验或唯一约束拦下（4xx），
        一旦出现 500 说明输入直达了底层，是明确的安全信号。
        ","3","test_malicious_username_no_500[\u8f93\u5165_2]","testcases","2026-09-03","passed","2026-09-03","TestMaliciousInput","test_security","",""
"","4","test_protected_endpoints_require_auth[POST-/users]","testcases","2026-09-03","passed","2026-09-03","TestAuthentication","test_security","",""
"","5","test_horizontal_privilege_write","testcases","2026-09-03","passed","2026-09-03","TestAuthorization","test_security","",""
"","65","test_pagination_boundary[\u5355\u9875\u4e0a\u9650100]","testcases","2026-09-03","passed","2026-09-03","TestUserCrud","test_user_crud","",""
